feature,importance,gain_ratio
categorical__top_live_entrance_type_click_30d,1819.8192777633667,0.0006942997279592222
numeric__live_add_cart_cnt_3d,1803.8188304901123,0.0006881952172944599
numeric__live_impression_days_30d,1791.873507976532,0.0006836378229021128
categorical__live_top_entrance_channel_group_click_30d,1727.810613155365,0.0006591964671091998
numeric__live_goods_impression_days_14d,1697.4096598625183,0.00064759785736875
categorical__l720d_last_reverse_live_entrance_type,1678.3069167137146,0.0006403097548997015
numeric__live_goods_click_days_14d,1544.9213237762451,0.0005894203165792186
numeric__live_buy_cnt_7d,1539.0065560340881,0.0005871637069891889
categorical__top_live_entrance_type_click_14d,1393.7204689979553,0.000531733977269311
numeric__l7d_live_order_cnt,1392.062165260315,0.0005311012991523209
categorical__live_top_entrance_channel_group_click_14d,1388.839165687561,0.0005298716563224428
numeric__second_last_goods_live_view_to_today_days,1227.2537512779236,0.00046822338682797187
categorical__l720d_1st_live_entrance_type,1220.4447584152222,0.00046562561135102444
numeric__live_click_days_14d,1217.584665298462,0.0004645344250463353
numeric__live_view_days_14d,1214.2738237380981,0.0004632712686314292
numeric__goods_live_view_days_14d,1211.8176398277283,0.00046233418227256635
numeric__live_buy_cnt_3d,1193.6699151992798,0.00045541043966440114
categorical__l720d_2nd_live_entrance_type,1123.4435510635376,0.0004286175893463537
categorical__live_top_entrance_channel_group_click_3d,1104.1786336898804,0.0004212676139641134
categorical__live_top_entrance_channel_group_click_7d,1039.1022605895996,0.0003964395946700058
numeric__last_goods_live_view_to_today_days,936.6113305091858,0.00035733712678067954
numeric__live_goods_impression_days_7d,934.939754486084,0.0003566993850047329
numeric__live_engage_days_7d,819.7744708061218,0.00031276138187091753
numeric__live_buy_now_days_7d,787.0937166213989,0.0003002929796415255
numeric__live_add_cart_days_7d,746.9451107978821,0.0002849754333105132
numeric__live_goods_click_days_7d,711.6030683517456,0.0002714916930536048
categorical__top_live_entrance_type_click_7d,696.2032203674316,0.00026561632378107816
categorical__top_live_entrance_type_click_3d,675.926100730896,0.00025788017172495407
numeric__second_last_live_view_to_today_days,669.2396769523621,0.0002553291589583667
numeric__live_buy_days_7d,662.6780452728271,0.0002528257570295395
numeric__goods_live_view_days_7d,654.3991632461548,0.00024966718759950816
numeric__live_impression_days_14d,571.8727602958679,0.00021818161108211955
numeric__live_click_days_7d,531.284019947052,0.00020269614407628274
categorical__customer_stage_live_yesterday,514.940025806427,0.0001964605629808073
categorical__l720d_last_live_entrance_type,488.6625380516052,0.00018643514297204258
numeric__live_buy_now_days_3d,433.3770718574524,0.00016534256273194564
numeric__live_buy_days_30d,369.27478075027466,0.0001408861764186979
numeric__live_add_cart_days_3d,359.7752904891968,0.00013726191900775118
numeric__live_view_days_7d,355.1786313056946,0.00013550819584434492
categorical__live_buy_active_flag,338.7143702507019,0.0001292267303652121
numeric__goods_live_view_days_3d,338.30991649627686,0.00012907242266273818
numeric__live_goods_impression_days_3d,332.05155324935913,0.0001266847240857974
numeric__last_live_view_to_today_days,309.99504137039185,0.00011826969607481949
numeric__live_engage_days_3d,304.55113983154297,0.00011619273194786235
numeric__live_goods_click_days_3d,276.3671007156372,0.00010543992207818367
numeric__live_view_days_3d,136.35734033584595,5.2023223106405265e-05
categorical__live_shequ_active_flag,128.5743293762207,4.9053839026348215e-05
numeric__live_click_days_3d,120.61999893188477,4.601909292211538e-05
numeric__live_impression_days_7d,110.24198865890503,4.205966145695163e-05
numeric__live_buy_days_3d,81.93163967132568,3.1258661686982785e-05
numeric__live_impression_days_3d,19.556459426879883,7.461204871187126e-06
