feature,importance,gain_ratio
numeric__l180d_live_dgmv,843009.7060313225,0.7230001352166822
numeric__l180d_live_order_cnt,179828.81811356544,0.15422866294629964
numeric__last_goods_live_buy_to_today_days,41137.73219037056,0.0352814276316772
numeric__l360d_dgmv,40663.239441394806,0.03487448294383507
categorical__live_buy_active_flag,17587.995688915253,0.015084195555873798
numeric__l360d_buy_days,17355.766429424286,0.0148850260981416
numeric__total_orders,15912.704710483551,0.013647396435688575
numeric__l720d_last_to_today_days,6809.279655456543,0.005839921031040137
categorical__customer_stage_live_yesterday,3683.0680713653564,0.003158752140761779
