feature,importance
l180d_live_dgmv,17084045.739593506
l180d_live_order_cnt,3982787.805683136
l360d_dgmv,1284675.7347869873
last_goods_live_buy_to_today_days,760011.5071029663
l360d_buy_days,230553.0930480957
l720d_last_to_today_days,181632.62065124512
total_orders,171959.1778717041
live_buy_active_flag,168738.20372772217
customer_stage_live_yesterday,39076.83406448364
