feature,importance,gain_ratio
numeric__l180d_live_dgmv,7076.488169848919,0.6555524770710947
numeric__l180d_live_order_cnt,2241.100537419319,0.20761131417279854
numeric__last_goods_live_buy_to_today_days,743.9635377693921,0.06891937474202156
numeric__l360d_dgmv,402.26824955642223,0.03726536964583041
numeric__l720d_last_to_today_days,119.15595626831055,0.0110383823747894
numeric__total_orders,110.82756015658379,0.010266855514286176
numeric__l360d_buy_days,90.4428218305111,0.008378451918694728
categorical__live_buy_active_flag,8.610799908638,0.0007976882140102147
categorical__customer_stage_live_yesterday,1.8360300064086914,0.00017008634647428122
