feature,importance,gain_ratio
numeric__l180d_live_dgmv,1401.4528638720512,0.18005603434628945
numeric__l30d_live_dgmv,1358.6683218479156,0.17455915666543484
numeric__live_goods_click_cnt_30d,667.5815227031708,0.08576962142607204
numeric__l360d_live_dgmv,572.9338226318359,0.0736094625123025
numeric__l90d_live_dgmv,484.8680000305176,0.06229493086603168
numeric__live_goods_impression_cnt_14d,477.9967805147171,0.0614121294753951
numeric__l60d_live_order_cnt,425.64849853515625,0.05468652042990844
numeric__l360d_live_order_cnt,392.3690576553345,0.050410840309260754
numeric__l360d_live_buy_days,353.61982226371765,0.045432411252939384
numeric__live_goods_impression_cnt_30d,254.2354760169983,0.03266369692612164
numeric__l60d_live_dgmv,108.32114803791046,0.013916897852459031
numeric__live_view_duration_30d,81.5340507030487,0.010475341848615002
numeric__first_goods_live_view_to_today_days,78.28663873672485,0.010058120452435143
numeric__l7d_live_dgmv,68.87597942352295,0.008849056601484386
numeric__live_goods_impression_days_30d,68.02630043029785,0.008739891438722674
numeric__live_goods_impression_cnt_7d,59.91369104385376,0.007697598606776977
numeric__live_click_cnt_3d,48.69841003417969,0.006256680346349828
numeric__live_goods_impression_to_buy_30d,47.38692927360535,0.006088183759016848
numeric__live_buy_now_cnt_7d,42.56966018676758,0.005469270065581228
numeric__live_goods_click_cnt_7d,34.100239753723145,0.004381134819867648
numeric__live_buy_cnt_14d,33.38130187988281,0.0042887670308095205
numeric__live_goods_impression_cnt_3d,30.34643453359604,0.0038988529686057607
numeric__live_goods_click_cnt_14d,26.896170020103455,0.00345556945778629
categorical__live_top_first_category_click_14d,26.823169946670532,0.0034461905453246865
numeric__goods_live_view_cnt_3d,26.372559547424316,0.003388296966728468
numeric__l180d_live_order_cnt,26.268391221761703,0.003374913615702675
numeric__live_click_cnt_7d,25.735319137573242,0.003306425514551348
numeric__live_click_cnt_30d,25.36360528692603,0.0032586684164822716
numeric__live_add_cart_cnt_30d,24.58775043487549,0.003158988040859377
numeric__live_impression_cnt_7d,23.943057417869568,0.003076159091698637
numeric__first_live_view_to_today_days,23.54434832930565,0.003024933696114304
